Date,Close,High,Low,Open,Volume,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,,,,
2012-04-23,1366.93994140625,1378.530029296875,1358.7900390625,1378.530029296875,3654860000,1392.9043294270834,1379.79759765625,1381.986546550241,1371.2726322847739,-2.499910065255108,0.7399954451201897,33.2690968846629
2012-04-24,1371.969970703125,1375.5699462890625,1366.8199462890625,1366.969970703125,3617100000,1392.933662923177,1380.3841967773437,1381.340315850427,1371.2999788894151,-2.996972803582139,-0.007398204620276062,36.64797081084911
2012-04-25,1390.68994140625,1391.3699951171875,1372.1099853515625,1372.1099853515625,3998430000,1392.7583292643228,1381.1625952148438,1381.94351749919,1372.0603695763498,-1.8589248894456887,-0.3777035415853586,47.40540457734612
2012-04-26,1399.97998046875,1402.0899658203125,1387.280029296875,1390.6400146484375,4034700000,1392.9483276367187,1382.1521948242187,1383.1071602714196,1373.1552562780125,-0.2050218418808072,-0.34316720164444836,50.566224430774376
2012-04-27,1403.3599853515625,1406.6400146484375,1397.31005859375,1400.18994140625,3645830000,1392.9736612955728,1383.354794921875,1384.4137941475578,1374.3397554573676,1.3627375944913638,-0.001986242417285926,56.81350256081696
2012-04-30,1397.9100341796875,1403.260009765625,1394.0,1403.260009765625,3574010000,1392.7649943033855,1384.1521948242187,1385.284519310921,1375.264080113145,2.140755434411176,0.42656209294840647,64.33781897429688
2012-05-01,1405.8199462890625,1415.3199462890625,1395.72998046875,1397.8599853515625,3807950000,1392.6339925130208,1385.043994140625,1386.6093855675754,1376.4623493749457,3.3569076375531495,1.012631201869355,63.7536046066579
2012-05-02,1402.31005859375,1405.5,1393.9200439453125,1405.5,3803860000,1392.526993815104,1385.84599609375,1387.6223322144253,1377.4759850305852,3.9914870388211057,1.6084023692597054,56.164319224859234
2012-05-03,1391.5699462890625,1403.0699462890625,1388.7099609375,1402.3199462890625,4004910000,1392.149658203125,1386.5241943359374,1387.8770169934342,1378.0286893936627,3.586416505095258,2.004005196426816,59.430000594199534
2012-05-04,1369.0999755859375,1391.510009765625,1367.9599609375,1391.510009765625,3975140000,1391.3603230794272,1386.6369946289062,1386.6655949671442,1377.6785437541441,1.435706412552463,1.8903454396519455,49.82563974363155
